id,EmployeeID,department_id,level_id,Job_Profile,Compensation,Bonus_%
1,100001,d001,HWQUVD,JP_1000,"500,000.00",1.0
2,100002,d001,ZO9DQZ,JP_1001,,0.2
37,100003,d003,KSETO3,JP_1022,"75,000.00",0.15
90,100004,d005,HWQUVD,JP_1036,"400,000.00",0.5
91,100005,d002,KSETO3,JP_1015,"55,000.00",0.15
343,100006,d004,KSETO3,JP_1029,"85,000.00",0.15
757,100007,d002,KSETO3,JP_1016,"70,000.00",0.15
344,100008,d004,KSETO3,JP_1029,"85,000.00",0.15
1352,100009,d004,2Q35MD,JP_1030,"175,000.00",0.2
758,100010,d002,KSETO3,JP_1016,"70,000.00",0.15
1403,100011,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
759,100012,d002,KSETO3,JP_1016,"70,000.00",0.15
1485,100013,d001,KSETO3,JP_1002,"65,000.00",0.15
1499,100014,d001,KSETO3,JP_1003,"65,000.00",0.15
1519,100015,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
1648,100016,d004,TRVBNH,JP_1033,"350,000.00",0.3
1649,100017,d001,KSETO3,JP_1004,"70,000.00",0.15
1693,100018,d002,TRVBNH,JP_1017,"280,000.00",0.3
1694,100019,d001,KSETO3,JP_1005,"50,000.00",0.15
345,100020,d004,KSETO3,JP_1029,"85,000.00",0.15
760,100021,d002,KSETO3,JP_1016,"70,000.00",0.15
761,100022,d002,KSETO3,JP_1016,"70,000.00",0.15
1761,100023,d002,9OLSAT,JP_1018,,0.15
762,100024,d002,KSETO3,JP_1016,"70,000.00",0.15
763,100025,d002,KSETO3,JP_1016,"70,000.00",0.15
346,100026,d004,KSETO3,JP_1029,"85,000.00",0.15
1762,100027,d002,9OLSAT,JP_1018,,0.15
1921,100028,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
1763,100029,d002,9OLSAT,JP_1018,,0.15
2037,100030,d004,9OLSAT,JP_1034,"95,000.00",0.15
1404,100031,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
764,100032,d002,KSETO3,JP_1016,"70,000.00",0.15
2081,100033,d001,KSETO3,JP_1006,"50,000.00",0.15
347,100034,d004,KSETO3,JP_1029,"85,000.00",0.15
1695,100035,d001,KSETO3,JP_1005,"50,000.00",0.15
1764,100036,d002,9OLSAT,JP_1018,,0.15
765,100037,d002,KSETO3,JP_1016,"70,000.00",0.15
1922,100038,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
2156,100039,d001,KSETO3,JP_1007,"220,000.00",0.15
2180,100040,d003,KSETO3,JP_1023,"70,000.00",0.15
1923,100041,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
1765,100042,d002,9OLSAT,JP_1018,,0.15
2305,100043,d003,KSETO3,JP_1024,"85,000.00",0.15
2347,100044,d005,KSETO3,JP_1037,"80,000.00",0.15
1924,100045,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
2494,100046,d002,KSETO3,JP_1020,"80,000.00",0.15
1925,100047,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
348,100048,d004,KSETO3,JP_1029,"85,000.00",0.15
2548,100049,d005,KSETO3,JP_1038,"110,000.00",0.15
2549,100050,d005,KSETO3,JP_1038,"110,000.00",0.15
2181,100051,d003,KSETO3,JP_1023,"70,000.00",0.15
1766,100052,d002,9OLSAT,JP_1018,,0.15
3567,100053,d001,KSETO3,JP_1008,"55,000.00",0.15
3667,100054,d005,2Q35MD,JP_1039,"200,000.00",0.2
2550,100055,d005,KSETO3,JP_1038,"110,000.00",0.15
2551,100056,d005,KSETO3,JP_1038,"110,000.00",0.15
349,100057,d004,KSETO3,JP_1029,"85,000.00",0.15
1405,100058,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
2082,100059,d001,KSETO3,JP_1006,"50,000.00",0.15
3946,100060,d005,9OLSAT,JP_1040,"140,000.00",0.15
2552,100061,d005,KSETO3,JP_1038,"110,000.00",0.15
2553,100062,d005,KSETO3,JP_1038,"110,000.00",0.15
3947,100063,d005,9OLSAT,JP_1040,"140,000.00",0.15
1926,100064,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
2554,100065,d005,KSETO3,JP_1038,"110,000.00",0.15
766,100066,d002,KSETO3,JP_1016,"70,000.00",0.15
767,100067,d002,KSETO3,JP_1016,"70,000.00",0.15
4318,100068,d004,6O0MT2,JP_1035,"75,000.00",0.1
4446,100069,d001,KSETO3,JP_1009,"85,000.00",0.15
1406,100070,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
4469,100071,d001,KSETO3,JP_1010,"70,000.00",0.15
350,100072,d004,KSETO3,JP_1029,"85,000.00",0.15
3948,100073,d005,9OLSAT,JP_1040,"140,000.00",0.15
351,100074,d004,KSETO3,JP_1029,"85,000.00",0.15
1767,100075,d002,9OLSAT,JP_1018,,0.15
2555,100076,d005,KSETO3,JP_1038,"110,000.00",0.15
4319,100077,d004,6O0MT2,JP_1035,"75,000.00",0.1
3949,100078,d005,9OLSAT,JP_1040,"140,000.00",0.15
2556,100079,d005,KSETO3,JP_1038,"110,000.00",0.15
768,100080,d002,KSETO3,JP_1016,"70,000.00",0.15
4320,100081,d004,6O0MT2,JP_1035,"75,000.00",0.1
769,100082,d002,KSETO3,JP_1016,"70,000.00",0.15
352,100083,d004,KSETO3,JP_1029,"85,000.00",0.15
2557,100084,d005,KSETO3,JP_1038,"110,000.00",0.15
3950,100085,d005,9OLSAT,JP_1040,"140,000.00",0.15
3668,100086,d005,2Q35MD,JP_1039,"200,000.00",0.2
4321,100087,d004,6O0MT2,JP_1035,"75,000.00",0.1
3669,100088,d005,2Q35MD,JP_1039,"200,000.00",0.2
2558,100089,d005,KSETO3,JP_1038,"110,000.00",0.15
2182,100090,d003,KSETO3,JP_1023,"70,000.00",0.15
3951,100091,d005,9OLSAT,JP_1040,"140,000.00",0.15
3952,100092,d005,9OLSAT,JP_1040,"140,000.00",0.15
92,100093,d002,KSETO3,JP_1015,"55,000.00",0.15
2038,100094,d004,9OLSAT,JP_1034,"95,000.00",0.15
2559,100095,d005,KSETO3,JP_1038,"110,000.00",0.15
4496,100096,d005,FFK1HB,JP_1041,"325,000.00",0.3
1520,100097,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
2560,100098,d005,KSETO3,JP_1038,"110,000.00",0.15
2561,100099,d005,KSETO3,JP_1038,"110,000.00",0.15
2562,100100,d005,KSETO3,JP_1038,"110,000.00",0.15
4570,100101,d003,6O0MT2,JP_1025,"120,000.00",0.1
353,100102,d004,KSETO3,JP_1029,"85,000.00",0.15
2563,100103,d005,KSETO3,JP_1038,"110,000.00",0.15
2564,100104,d005,KSETO3,JP_1038,"110,000.00",0.15
3670,100105,d005,2Q35MD,JP_1039,"200,000.00",0.2
2565,100106,d005,KSETO3,JP_1038,"110,000.00",0.15
1521,100107,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
770,100108,d002,KSETO3,JP_1016,"70,000.00",0.15
1407,100109,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
3671,100110,d005,2Q35MD,JP_1039,"200,000.00",0.2
2566,100111,d005,KSETO3,JP_1038,"110,000.00",0.15
771,100112,d002,KSETO3,JP_1016,"70,000.00",0.15
2567,100113,d005,KSETO3,JP_1038,"110,000.00",0.15
2568,100114,d005,KSETO3,JP_1038,"110,000.00",0.15
354,100115,d004,KSETO3,JP_1029,"85,000.00",0.15
3568,100116,d001,KSETO3,JP_1008,"55,000.00",0.15
4658,100117,d003,FFK1HB,JP_1026,"250,000.00",0.3
4322,100118,d004,6O0MT2,JP_1035,"75,000.00",0.1
1768,100119,d002,9OLSAT,JP_1018,,0.15
4497,100120,d005,FFK1HB,JP_1041,"325,000.00",0.3
2569,100121,d005,KSETO3,JP_1038,"110,000.00",0.15
2570,100122,d005,KSETO3,JP_1038,"110,000.00",0.15
2183,100123,d003,KSETO3,JP_1023,"70,000.00",0.15
2184,100124,d003,KSETO3,JP_1023,"70,000.00",0.15
38,100125,d003,KSETO3,JP_1022,"75,000.00",0.15
3953,100126,d005,9OLSAT,JP_1040,"140,000.00",0.15
3954,100127,d005,9OLSAT,JP_1040,"140,000.00",0.15
93,100128,d002,KSETO3,JP_1015,"55,000.00",0.15
2571,100129,d005,KSETO3,JP_1038,"110,000.00",0.15
3672,100130,d005,2Q35MD,JP_1039,"200,000.00",0.2
3673,100131,d005,2Q35MD,JP_1039,"200,000.00",0.2
4323,100132,d004,6O0MT2,JP_1035,"75,000.00",0.1
2185,100133,d003,KSETO3,JP_1023,"70,000.00",0.15
3955,100134,d005,9OLSAT,JP_1040,"140,000.00",0.15
2572,100135,d005,KSETO3,JP_1038,"110,000.00",0.15
2573,100136,d005,KSETO3,JP_1038,"110,000.00",0.15
3569,100137,d001,KSETO3,JP_1008,"55,000.00",0.15
2574,100138,d005,KSETO3,JP_1038,"110,000.00",0.15
772,100139,d002,KSETO3,JP_1016,"70,000.00",0.15
355,100140,d004,KSETO3,JP_1029,"85,000.00",0.15
94,100141,d002,KSETO3,JP_1015,"55,000.00",0.15
3570,100142,d001,KSETO3,JP_1008,"55,000.00",0.15
3674,100143,d005,2Q35MD,JP_1039,"200,000.00",0.2
2575,100144,d005,KSETO3,JP_1038,"110,000.00",0.15
2576,100145,d005,KSETO3,JP_1038,"110,000.00",0.15
2577,100146,d005,KSETO3,JP_1038,"110,000.00",0.15
2578,100147,d005,KSETO3,JP_1038,"110,000.00",0.15
2579,100148,d005,KSETO3,JP_1038,"110,000.00",0.15
3675,100149,d005,2Q35MD,JP_1039,"200,000.00",0.2
3676,100150,d005,2Q35MD,JP_1039,"200,000.00",0.2
2348,100151,d005,KSETO3,JP_1037,"80,000.00",0.15
4571,100152,d003,6O0MT2,JP_1025,"120,000.00",0.1
4572,100153,d003,6O0MT2,JP_1025,"120,000.00",0.1
2580,100154,d005,KSETO3,JP_1038,"110,000.00",0.15
4498,100155,d005,FFK1HB,JP_1041,"325,000.00",0.3
2581,100156,d005,KSETO3,JP_1038,"110,000.00",0.15
3677,100157,d005,2Q35MD,JP_1039,"200,000.00",0.2
1500,100158,d001,KSETO3,JP_1003,"65,000.00",0.15
2582,100159,d005,KSETO3,JP_1038,"110,000.00",0.15
2583,100160,d005,KSETO3,JP_1038,"110,000.00",0.15
773,100161,d002,KSETO3,JP_1016,"70,000.00",0.15
1650,100162,d001,KSETO3,JP_1004,"70,000.00",0.15
2584,100163,d005,KSETO3,JP_1038,"110,000.00",0.15
774,100164,d002,KSETO3,JP_1016,"70,000.00",0.15
4324,100165,d004,6O0MT2,JP_1035,"75,000.00",0.1
2157,100166,d001,KSETO3,JP_1007,"220,000.00",0.15
4573,100167,d003,6O0MT2,JP_1025,"120,000.00",0.1
4680,100168,d001,ZO9DQZ,JP_1011,"120,000.00",0.15
3956,100169,d005,9OLSAT,JP_1040,"140,000.00",0.15
2585,100170,d005,KSETO3,JP_1038,"110,000.00",0.15
3678,100171,d005,2Q35MD,JP_1039,"200,000.00",0.2
2349,100172,d005,KSETO3,JP_1037,"80,000.00",0.15
4681,100173,d001,ZO9DQZ,JP_1011,"120,000.00",0.15
95,100174,d002,KSETO3,JP_1015,"55,000.00",0.15
775,100175,d002,KSETO3,JP_1016,"70,000.00",0.15
2586,100176,d005,KSETO3,JP_1038,"110,000.00",0.15
3957,100177,d005,9OLSAT,JP_1040,"140,000.00",0.15
2587,100178,d005,KSETO3,JP_1038,"110,000.00",0.15
1769,100179,d002,9OLSAT,JP_1018,,0.15
3679,100180,d005,2Q35MD,JP_1039,"200,000.00",0.2
96,100181,d002,KSETO3,JP_1015,"55,000.00",0.15
2588,100182,d005,KSETO3,JP_1038,"110,000.00",0.15
4718,100183,d001,FFK1HB,JP_1012,"225,000.00",0.3
1651,100184,d001,KSETO3,JP_1004,"70,000.00",0.15
2039,100185,d004,9OLSAT,JP_1034,"95,000.00",0.15
2158,100186,d001,KSETO3,JP_1007,"220,000.00",0.15
2589,100187,d005,KSETO3,JP_1038,"110,000.00",0.15
2590,100188,d005,KSETO3,JP_1038,"110,000.00",0.15
3958,100189,d005,9OLSAT,JP_1040,"140,000.00",0.15
4499,100190,d005,FFK1HB,JP_1041,"325,000.00",0.3
2591,100191,d005,KSETO3,JP_1038,"110,000.00",0.15
3959,100192,d005,9OLSAT,JP_1040,"140,000.00",0.15
2592,100193,d005,KSETO3,JP_1038,"110,000.00",0.15
1696,100194,d001,KSETO3,JP_1005,"50,000.00",0.15
776,100195,d002,KSETO3,JP_1016,"70,000.00",0.15
2593,100196,d005,KSETO3,JP_1038,"110,000.00",0.15
4500,100197,d005,FFK1HB,JP_1041,"325,000.00",0.3
97,100198,d002,KSETO3,JP_1015,"55,000.00",0.15
4574,100199,d003,6O0MT2,JP_1025,"120,000.00",0.1
3680,100200,d005,2Q35MD,JP_1039,"200,000.00",0.2
2306,100201,d003,KSETO3,JP_1024,"85,000.00",0.15
2594,100202,d005,KSETO3,JP_1038,"110,000.00",0.15
3681,100203,d005,2Q35MD,JP_1039,"200,000.00",0.2
3682,100204,d005,2Q35MD,JP_1039,"200,000.00",0.2
2595,100205,d005,KSETO3,JP_1038,"110,000.00",0.15
777,100206,d002,KSETO3,JP_1016,"70,000.00",0.15
1770,100207,d002,9OLSAT,JP_1018,,0.15
98,100208,d002,KSETO3,JP_1015,"55,000.00",0.15
2083,100209,d001,KSETO3,JP_1006,"50,000.00",0.15
2350,100210,d005,KSETO3,JP_1037,"80,000.00",0.15
4501,100211,d005,FFK1HB,JP_1041,"325,000.00",0.3
2307,100212,d003,KSETO3,JP_1024,"85,000.00",0.15
2084,100213,d001,KSETO3,JP_1006,"50,000.00",0.15
778,100214,d002,KSETO3,JP_1016,"70,000.00",0.15
1408,100215,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
356,100216,d004,KSETO3,JP_1029,"85,000.00",0.15
3683,100217,d005,2Q35MD,JP_1039,"200,000.00",0.2
2596,100218,d005,KSETO3,JP_1038,"110,000.00",0.15
2597,100219,d005,KSETO3,JP_1038,"110,000.00",0.15
2598,100220,d005,KSETO3,JP_1038,"110,000.00",0.15
2599,100221,d005,KSETO3,JP_1038,"110,000.00",0.15
2600,100222,d005,KSETO3,JP_1038,"110,000.00",0.15
357,100223,d004,KSETO3,JP_1029,"85,000.00",0.15
2601,100224,d005,KSETO3,JP_1038,"110,000.00",0.15
4502,100225,d005,FFK1HB,JP_1041,"325,000.00",0.3
2602,100226,d005,KSETO3,JP_1038,"110,000.00",0.15
4736,100227,d002,2Q35MD,JP_1021,"160,000.00",0.2
779,100228,d002,KSETO3,JP_1016,"70,000.00",0.15
358,100229,d004,KSETO3,JP_1029,"85,000.00",0.15
3571,100230,d001,KSETO3,JP_1008,"55,000.00",0.15
2603,100231,d005,KSETO3,JP_1038,"110,000.00",0.15
2604,100232,d005,KSETO3,JP_1038,"110,000.00",0.15
3684,100233,d005,2Q35MD,JP_1039,"200,000.00",0.2
4503,100234,d005,FFK1HB,JP_1041,"325,000.00",0.3
2085,100235,d001,KSETO3,JP_1006,"50,000.00",0.15
2605,100236,d005,KSETO3,JP_1038,"110,000.00",0.15
2606,100237,d005,KSETO3,JP_1038,"110,000.00",0.15
359,100238,d004,KSETO3,JP_1029,"85,000.00",0.15
780,100239,d002,KSETO3,JP_1016,"70,000.00",0.15
781,100240,d002,KSETO3,JP_1016,"70,000.00",0.15
2607,100241,d005,KSETO3,JP_1038,"110,000.00",0.15
3960,100242,d005,9OLSAT,JP_1040,"140,000.00",0.15
3685,100243,d005,2Q35MD,JP_1039,"200,000.00",0.2
782,100244,d002,KSETO3,JP_1016,"70,000.00",0.15
99,100245,d002,KSETO3,JP_1015,"55,000.00",0.15
2351,100246,d005,KSETO3,JP_1037,"80,000.00",0.15
3572,100247,d001,KSETO3,JP_1008,"55,000.00",0.15
2352,100248,d005,KSETO3,JP_1037,"80,000.00",0.15
2608,100249,d005,KSETO3,JP_1038,"110,000.00",0.15
3961,100250,d005,9OLSAT,JP_1040,"140,000.00",0.15
3686,100251,d005,2Q35MD,JP_1039,"200,000.00",0.2
2609,100252,d005,KSETO3,JP_1038,"110,000.00",0.15
3962,100253,d005,9OLSAT,JP_1040,"140,000.00",0.15
100,100254,d002,KSETO3,JP_1015,"55,000.00",0.15
1409,100255,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
783,100256,d002,KSETO3,JP_1016,"70,000.00",0.15
2610,100257,d005,KSETO3,JP_1038,"110,000.00",0.15
3963,100258,d005,9OLSAT,JP_1040,"140,000.00",0.15
2611,100259,d005,KSETO3,JP_1038,"110,000.00",0.15
2612,100260,d005,KSETO3,JP_1038,"110,000.00",0.15
1697,100261,d001,KSETO3,JP_1005,"50,000.00",0.15
1652,100262,d001,KSETO3,JP_1004,"70,000.00",0.15
1927,100263,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
