EmployeeID,Gender,Disability,Education
100001,F,0,Undergraduate
100002,M,1,Undergraduate
100003,F,0,Undergraduate
100004,M,0,Undergraduate
100005,M,0,Undergraduate
100006,M,0,Undergraduate
100007,M,0,Some College
100008,F,0,High School
100009,M,0,Undergraduate
100010,M,0,PhD
100011,M,1,High School
100012,M,0,Undergraduate
100013,M,0,High School
100014,F,0,Undergraduate
100015,M,0,High School
100016,M,0,Undergraduate
100017,F,0,Undergraduate
100018,F,0,Undergraduate
100019,M,0,Undergraduate
100020,M,0,Undergraduate
100021,F,1,Undergraduate
100022,F,0,High School
100023,M,0,PhD
100024,F,0,High School
100025,F,0,Undergraduate
100026,F,0,Graduate
100027,F,0,Undergraduate
100028,F,0,Undergraduate
100029,M,0,High School
100030,M,0,Undergraduate
100031,M,1,Undergraduate
100032,F,0,Undergraduate
100033,F,0,PhD
100034,M,0,High School
100035,F,0,Undergraduate
100036,F,0,High School
100037,F,0,Some College
100038,F,0,High School
100039,F,0,Undergraduate
100040,F,0,Undergraduate
100041,F,0,Undergraduate
100042,M,0,Undergraduate
100043,M,0,High School
100044,M,0,Undergraduate
100045,M,0,Undergraduate
100046,F,0,Undergraduate
100047,F,0,Undergraduate
100048,M,0,Undergraduate
100049,F,0,Undergraduate
100050,M,0,Undergraduate
100051,M,0,Undergraduate
100052,F,0,Undergraduate
100053,M,0,Undergraduate
100054,M,0,Undergraduate
100055,M,0,Undergraduate
100056,F,0,Undergraduate
100057,M,0,Undergraduate
100058,F,0,Undergraduate
100059,F,0,High School
100060,M,0,Undergraduate
100061,F,0,Undergraduate
100062,M,0,Undergraduate
100063,M,0,Undergraduate
100064,M,0,Undergraduate
100065,M,0,High School
100066,M,0,Undergraduate
100067,M,0,Some College
100068,M,0,Undergraduate
100069,M,0,High School
100070,F,0,Undergraduate
100071,F,0,High School
100072,M,0,Undergraduate
100073,M,0,Graduate
100074,M,0,High School
100075,M,0,Undergraduate
100076,F,0,Undergraduate
100077,F,0,Undergraduate
100078,M,0,Undergraduate
100079,F,0,Graduate
100080,M,0,PhD
100081,M,0,Undergraduate
100082,F,0,Undergraduate
100083,F,0,Undergraduate
100084,M,0,Undergraduate
100085,M,1,Undergraduate
100086,M,0,Undergraduate
100087,F,0,High School
100088,F,0,Undergraduate
100089,F,0,Undergraduate
100090,F,0,High School
100091,F,0,Undergraduate
100092,M,0,High School
100093,M,0,Undergraduate
100094,F,0,Undergraduate
100095,M,0,High School
100096,F,0,Undergraduate
100097,F,1,Undergraduate
100098,M,0,High School
100099,M,0,Undergraduate
100100,F,0,High School
100101,M,0,High School
100102,F,0,Undergraduate
100103,F,0,Undergraduate
100104,M,0,Undergraduate
100105,M,0,Undergraduate
100106,F,0,Graduate
100107,M,0,Undergraduate
100108,M,0,Undergraduate
100109,F,0,Undergraduate
100110,F,0,High School
100111,F,0,Undergraduate
100112,F,1,Undergraduate
100113,M,0,High School
100114,F,0,Undergraduate
100115,M,0,Some College
100116,F,0,High School
100117,F,0,PhD
100118,F,0,Undergraduate
100119,M,0,Undergraduate
100120,F,0,Undergraduate
100121,M,0,Undergraduate
100122,M,0,Undergraduate
100123,F,0,Undergraduate
100124,F,0,Undergraduate
100125,M,0,Undergraduate
100126,M,0,PhD
100127,F,0,Undergraduate
100128,F,0,Undergraduate
100129,F,0,Undergraduate
100130,M,0,Undergraduate
100131,M,0,High School
100132,M,0,Undergraduate
100133,F,0,High School
100134,M,0,Undergraduate
100135,F,0,Undergraduate
100136,M,0,Undergraduate
100137,F,0,High School
100138,F,0,Undergraduate
100139,F,0,Undergraduate
